storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5,prompt,generated_conclusion
c288b5e2-070c-49e9-bcd7-5e1b83283c24,Basketball game,Fred had a basketball game tonight.,He was rather nervous.,Thankfully his team felt the same.,However the team ended up winning the game.,Fred was relieved.,Write a concluding sentence for the following story: 'Fred had a basketball game tonight. He was rather nervous. Thankfully his team felt the same. However the team ended up winning the game.,"In the end, Fred's nerves were overcome by the team's unity and success on the court."
a2b17ec5-cd5b-4a32-9f01-b62e9b54f321,Cancelled,James was on his way to the podium when the rain started.,The weather caused everyone in the crowd to seek shelter.,An umbrella was placed over James's head by security.,He was told it was okay to cancel the speech because of weather.,"Disappointed, he agreed and was escorted to his vehicle.",Write a concluding sentence for the following story: 'James was on his way to the podium when the rain started. The weather caused everyone in the crowd to seek shelter. An umbrella was placed over James's head by security. He was told it was okay to cancel the speech because of weather.,"Despite the rain, James was determined to deliver his speech and stepped up to the podium with confidence."
2ebcb361-ae54-43c5-9e39-7937dd78238a,Someday I'll come Home,I left my son and girlfriend late in the fall of 1978.,"After I made it to the other side of the country, I went to the beach.",I sat on the shore and drank what was left of my flask.,"Every year on his birthday, I return to that beach and get drunk.",Through tears I tell the ocean that someday I would come home.,"Write a concluding sentence for the following story: 'I left my son and girlfriend late in the fall of 1978. After I made it to the other side of the country, I went to the beach. I sat on the shore and drank what was left of my flask. Every year on his birthday, I return to that beach and get drunk.","But no matter how much I drink, the guilt of leaving my family never fades."
897bb8d7-0ff8-4bdd-acd9-9545d485f432,Chase Utley,My favorite baseball player of all time is Chase Utley.,My friends joke that I'm like Mac from Always Sunny in Philadelphia.,"One time, after a Phillies game the players were signing autographs.",I managed to sneak down and get a picture with Chase Utley.,"It was amazing, I still have it framed on my wall.","Write a concluding sentence for the following story: 'My favorite baseball player of all time is Chase Utley. My friends joke that I'm like Mac from Always Sunny in Philadelphia. One time, after a Phillies game the players were signing autographs. I managed to sneak down and get a picture with Chase Utley.",That moment will forever be one of my most treasured memories.
f781819b-976e-4e44-91d2-67fed401663c,The Teacher,Sandy was a school teacher.,She had a student that was failing.,She offered to give extra credit.,He refused.,He failed her class.,Write a concluding sentence for the following story: 'Sandy was a school teacher. She had a student that was failing. She offered to give extra credit. He refused.,"Despite Sandy's best efforts to help her struggling student, he ultimately declined the opportunity for extra credit."
afbafcfb-9d1a-432d-8594-6df9e2caffae,Arun Visits Italy,Arun dreamt for most of his life of visiting Italy.,He researched the trip to learn where in Italy he would like to see.,Finally he booked his flight for Rome.,In Rome Arun saw many beautiful sights.,It was truly the trip of a lifetime for Arun.,Write a concluding sentence for the following story: 'Arun dreamt for most of his life of visiting Italy. He researched the trip to learn where in Italy he would like to see. Finally he booked his flight for Rome. In Rome Arun saw many beautiful sights.,"After fulfilling his lifelong dream of visiting Italy and exploring the stunning sights of Rome, Arun returned home with memories that would last a lifetime."
53b48cea-5ad1-4893-a176-31dbbb8bcb48,The post it note prank.,Andrea wanted to prank her boyfriend for April Fools Day.,He wouldn't fall for any of her tricks so she needed a new idea.,She saw some post-it notes and felt inspired.,During his classes she covered his truck in the little notes.,"When he came out and saw them, he was completely shocked.",Write a concluding sentence for the following story: 'Andrea wanted to prank her boyfriend for April Fools Day. He wouldn't fall for any of her tricks so she needed a new idea. She saw some post-it notes and felt inspired. During his classes she covered his truck in the little notes.,"When he finally saw the result, her boyfriend couldn't help but laugh and admit that Andrea's April Fools prank was one of the best he had ever seen."
8353168f-5e8b-471c-a9ae-292d4142a4b0,Bad Math,I was working on a spreadsheet.,I had to calculate an average value.,The value wasn't what I expected.,"After many hours, I realized I misplaced a value in the sheet.",I learned that I should double check my work.,"Write a concluding sentence for the following story: 'I was working on a spreadsheet. I had to calculate an average value. The value wasn't what I expected. After many hours, I realized I misplaced a value in the sheet.","In the end, I learned the importance of double-checking my work to avoid making costly mistakes."
effa15ab-fea5-4615-8bef-ff3e6ed076a1,Study hard,Robert wanted to be a police officer.,He went to school for eight Years to become one.,He heard there were job openings available for police officers.,He signed the application.,He instantly got accepted because of his education.,Write a concluding sentence for the following story: 'Robert wanted to be a police officer. He went to school for eight Years to become one. He heard there were job openings available for police officers. He signed the application.,"After years of hard work and dedication, Robert's dream of becoming a police officer was finally within reach as he submitted his application for the available job openings."
0c7ea7fc-a901-4caa-b39e-1aa50e0802f1,Ruined Food,The waiter served the food to my family.,"When she gave me my place, my aunt offered salt.","Although I said no, she poured a lot of the salt onto my food.","When I tried to eat it, it tasted too salty.",The waiter had to throw it away for me.,"Write a concluding sentence for the following story: 'The waiter served the food to my family. When she gave me my place, my aunt offered salt. Although I said no, she poured a lot of the salt onto my food. When I tried to eat it, it tasted too salty.","In the end, I was left with a plate of food that was practically inedible due to the excessive amount of salt added by my well-meaning but overzealous aunt."
e57afdbe-5965-4304-9a90-c3be3f0a367f,Clowning Around,Maurice watched the clown bump his way through the crowd.,He'd always found clowns to be very scary.,"This one seemed to be funny, as well as slightly drunk.",The clown elbowed Maurice as he went by.,"Minutes later, Maurice realized the clown had stolen his phone.","Write a concluding sentence for the following story: 'Maurice watched the clown bump his way through the crowd. He'd always found clowns to be very scary. This one seemed to be funny, as well as slightly drunk. The clown elbowed Maurice as he went by.","As Maurice hurried away, he couldn't help but chuckle nervously at the unexpected encounter with the tipsy clown."
d4dda904-a1c4-4c02-8592-10844fe679a2,Label,Pat was on his way to meet a label exec.,He was hopeful to get a good record label,The exec wanted him to sign a contract.,The exec also wanted him to change his whole sound.,Pat declined the offer.,Write a concluding sentence for the following story: 'Pat was on his way to meet a label exec. He was hopeful to get a good record label The exec wanted him to sign a contract. The exec also wanted him to change his whole sound.,"Despite the pressure to change his sound, Pat remained hopeful that he could find success with the new record label and achieve his dream of becoming a successful musician."
17c10289-44f4-42e0-9609-988b27284918,Guitar Lessons,Lindsay was very interested in guitar lessons.,She looked online for studios or individuals offering classes.,She weighed the options and decided to go with Falcetti Music.,Lindsay went through a few weeks of classes.,Her skills are becoming better and better.,Write a concluding sentence for the following story: 'Lindsay was very interested in guitar lessons. She looked online for studios or individuals offering classes. She weighed the options and decided to go with Falcetti Music. Lindsay went through a few weeks of classes.,"At the end of her lessons, Lindsay felt confident in her abilities and was grateful for choosing Falcetti Music for her guitar instruction."
f07b41bf-f430-4f46-9457-467867c403c8,Physics Test,Olivia has a physics test tomorrow.,She hasn't studied at all for this test.,Olivia grabs some coffee and puts on study music.,She crams for the test all night.,"Unfortunately, she falls asleep in the morning and misses the test.",Write a concluding sentence for the following story: 'Olivia has a physics test tomorrow. She hasn't studied at all for this test. Olivia grabs some coffee and puts on study music. She crams for the test all night.,"Despite her lack of preparation, Olivia is determined to do her best on the physics test tomorrow."
9e65d95e-feb9-452a-b6aa-d6430683f088,Lego,Todd has a bunch of legos to play with.,He has all the sets from his childhood.,Plus more from when he was an adult.,He set the world record for most sets owned.,He gave the proceeds to charity.,Write a concluding sentence for the following story: 'Todd has a bunch of legos to play with. He has all the sets from his childhood. Plus more from when he was an adult. He set the world record for most sets owned.,"With his impressive collection of Legos, Todd's passion for building and creating knows no bounds."
bd66ce28-86da-474f-9f66-8681a9729357,Paper Money,We went to a store to buy Ching Ming supplies.,Ching Ming is a Chinese ceremony honoring the dead.,The store was out of paper money.,I went home and printed some paper from the Internet.,We burned a lot of that money during Ching Ming.,Write a concluding sentence for the following story: 'We went to a store to buy Ching Ming supplies. Ching Ming is a Chinese ceremony honoring the dead. The store was out of paper money. I went home and printed some paper from the Internet.,"Despite the store being out of paper money, we were still able to honor our ancestors thanks to some quick thinking and resourcefulness."
ca9da30f-3551-4278-ac71-2e0ef9a4007b,Watches,Holly looked over the selection of watches.,Some were cute with characters she liked.,Others were clearly better-made.,She chose one nice watch rather than 3 to 5 cheaper ones.,"This would prove wise, as she needed one for her chaotic trip.",Write a concluding sentence for the following story: 'Holly looked over the selection of watches. Some were cute with characters she liked. Others were clearly better-made. She chose one nice watch rather than 3 to 5 cheaper ones.,"In the end, Holly knew she had made the right choice by selecting one high-quality watch over multiple cheaper options."
3f616dfd-647a-41c1-91bb-cba78e10a2c1,The Surprise Party.,I was walking to my office complex.,I noticed that all of the lights were off.,I walked inside and I was confused because it was a workday.,"Suddenly, all of the lights turned on and confetti flew everywhere.",My coworkers through a surprise party for my birthday.,"Write a concluding sentence for the following story: 'I was walking to my office complex. I noticed that all of the lights were off. I walked inside and I was confused because it was a workday. Suddenly, all of the lights turned on and confetti flew everywhere.","As I stood there in shock, my colleagues jumped out from their hiding spots, cheering and applauding for my birthday surprise."
43940b0e-975b-47c1-bc13-e3ea7d87c24b,My Nana's House,My Nana lived in a huge old house.,When I was little I used to sleep in the front room.,There were lots of Buddha statues in the front room.,"One night, I had a nightmare and woke up alone and scared.","I saw a fat, red Buddha smiling at me and wasn't scared anymore!","Write a concluding sentence for the following story: 'My Nana lived in a huge old house. When I was little I used to sleep in the front room. There were lots of Buddha statues in the front room. One night, I had a nightmare and woke up alone and scared.","In the morning, my Nana reassured me that the Buddha statues were there to protect me, and I never felt scared in that room again."
258fabd3-9df9-4928-bedb-4f9afc1336e0,Horace Makes A Shake,Horace decides that he needs to begin eating more healthy food.,He decides to make a shake for breakfast.,"Horace puts in banana, apple, and yogurt.",This does not find the shake very delicious.,"However, he is happy to be eating healthy food.","Write a concluding sentence for the following story: 'Horace decides that he needs to begin eating more healthy food. He decides to make a shake for breakfast. Horace puts in banana, apple, and yogurt. This does not find the shake very delicious.","Ultimately, Horace realizes that healthy eating doesn't have to be bland and vows to experiment with new ingredients to find a more palatable morning shake."
eec1769b-7af5-4224-9db0-a56f12a78cf5,The lost child,Billy went to the hardware store with his father.,Billy stopped to look at something.,His father did not notice and kept walking.,Billy looked up and his father was gone!,Billy found an employee who called his father for him.,Write a concluding sentence for the following story: 'Billy went to the hardware store with his father. Billy stopped to look at something. His father did not notice and kept walking. Billy looked up and his father was gone!,"In a panic, Billy frantically searched the aisles of the hardware store, hoping to find his father."
40fc2e5d-5ff4-4416-9338-54ebeefae557,The Helicopter Ride,Anita's son loved helicopters.,She promised herself one day she would get him on a helicopter.,"Next, her new boyfriend told her he could fly a helicopter.",He arranged to fly a newspaper's small helicopter.,Anita's boyfriend took her son on a fifteen minute helicopter flight.,"Write a concluding sentence for the following story: 'Anita's son loved helicopters. She promised herself one day she would get him on a helicopter. Next, her new boyfriend told her he could fly a helicopter. He arranged to fly a newspaper's small helicopter.",Anita's promise to her son was finally fulfilled thanks to her new boyfriend's unexpected ability to fly helicopters.
46bd297b-d48c-442e-87e2-efb4c2071252,The Petting Zoo,Karen took her three boys for a day at the petting zoo.,The boys went in to pet the animals and had a lot of fun.,One goat bonded well with her oldest son and fell asleep in his lap.,Her younger sons enjoyed playing with a few pigs with toy balls.,"The petting zoo closed in the evening, and Karen took her boys home.",Write a concluding sentence for the following story: 'Karen took her three boys for a day at the petting zoo. The boys went in to pet the animals and had a lot of fun. One goat bonded well with her oldest son and fell asleep in his lap. Her younger sons enjoyed playing with a few pigs with toy balls.,"The day at the petting zoo was filled with laughter, bonding, and unforgettable memories for Karen and her three boys."
b0324720-25a7-4522-ac88-856e3eee8998,Going To The Movies,A movie that Jared has been wanting to see came out today.,He asked all his friends if they wanted to go see it.,They told him the movie got bad reviews so they were going to skip it.,Jared didn't care about that and went to the movies by himself.,He ended up loving the movie just as he thought he would.,Write a concluding sentence for the following story: 'A movie that Jared has been wanting to see came out today. He asked all his friends if they wanted to go see it. They told him the movie got bad reviews so they were going to skip it. Jared didn't care about that and went to the movies by himself.,"Despite the bad reviews, Jared went to see the movie on his own and enjoyed it anyway."
d8259584-d516-49ab-b399-3b6f394d42d8,Sledding,This year Tina was going to be able to sled on her own.,She hoped it would hurry up and snow!,Finally one Sunday morning she awoke to a snowy day.,She ran with her sled up the hill by her house.,She laughed loudly as she whizzed down the hill on her new sled.,Write a concluding sentence for the following story: 'This year Tina was going to be able to sled on her own. She hoped it would hurry up and snow! Finally one Sunday morning she awoke to a snowy day. She ran with her sled up the hill by her house.,"With a big smile on her face, Tina enjoyed the thrill of sledding down the hill all by herself for the very first time."
eaca7281-3f92-4d97-add6-2314b86b39bf,Phoebe's Trip to the Grocery Store,Phoebe was craving bananas.,"Phoebe got in her Honda Civic, and went to the grocery store.","As she made her way through the produce section, she spotted a dog.",Phoebe was confused by the loose dog in the store.,"Phoebe told the manager, and he quickly found the dog's owner.","Write a concluding sentence for the following story: 'Phoebe was craving bananas. Phoebe got in her Honda Civic, and went to the grocery store. As she made her way through the produce section, she spotted a dog. Phoebe was confused by the loose dog in the store.","Despite the unexpected detour, Phoebe was able to satisfy her craving for bananas at the grocery store and safely make her way back home in her Honda Civic."
559e98b9-c1fe-449f-99d4-1cd990ad6f6d,Barbie Wife,Peter was a bachelor in his late 20s.,He was very successful and just bought his first house.,His married friends joked that the only thing missing was a wife.,"When he was away, they snuck into his house with a Barbie doll.",They put her in the kitchen with a note that she was the perfect wife.,"Write a concluding sentence for the following story: 'Peter was a bachelor in his late 20s. He was very successful and just bought his first house. His married friends joked that the only thing missing was a wife. When he was away, they snuck into his house with a Barbie doll.","But Peter realized that he was happy with his life just the way it was, surrounded by good friends who always brought laughter into his home."
df498049-3eb0-4d96-afe2-8ac344146e5d,Seat Next to Me,Amy was happy her first class in junior high was all new kids.,She introduced herself to the girl seated next to her.,She was even more nervous than Amy was.,The girls talked and bonded over their love of books.,They decided to meet up after school to go to the mall.,Write a concluding sentence for the following story: 'Amy was happy her first class in junior high was all new kids. She introduced herself to the girl seated next to her. She was even more nervous than Amy was. The girls talked and bonded over their love of books.,"As the bell rang for their next class, Amy felt relieved and excited to have made a new friend so quickly in junior high."
6ed95747-24d8-404d-b883-09bd2b266b4b,Broken Light,Jake noticed a light out in his room.,He tried replacing the bulb.,It didn't do anything.,Eventually he tried looking at the fuses.,Jake realized which was the problem and replaced.,Write a concluding sentence for the following story: 'Jake noticed a light out in his room. He tried replacing the bulb. It didn't do anything. Eventually he tried looking at the fuses.,"After replacing a blown fuse, Jake's room was once again filled with light and warmth."
8227f76a-cb7a-48eb-8a69-c715e91fb072,Hot Hand,My mom gave me a plate of food.,I asked her if she can get me some salt.,"However, she decided to put the salt on the food herself.",She ended up spilling too much.,My food became salty and I had to throw it away.,"Write a concluding sentence for the following story: 'My mom gave me a plate of food. I asked her if she can get me some salt. However, she decided to put the salt on the food herself. She ended up spilling too much.","As I looked at the overly salted plate, I couldn't help but smile at my mom's good intentions."
177a0919-72fb-463b-b487-5ab24b688180,Misunderstanding,My mom was cleaning up the table.,She picked up my homework and crumbled it.,She also threw it away in the trash.,I spent an hour looking for the assignment.,"When she told me, I was irritated.",Write a concluding sentence for the following story: 'My mom was cleaning up the table. She picked up my homework and crumbled it. She also threw it away in the trash. I spent an hour looking for the assignment.,"In the end, I realized that sometimes mistakes happen, and it's important to learn from them and move on."
d5b94afa-e048-4a1a-9e04-91681cb31829,mall,We went to the mall to buy christmas presents.,It was pretty crowded and the parking lot was nuts.,We circled the lot trying to find a space.,We eventually wanted one but someone wanted to fight us for it.,We just let them have it and tried to find a new spot at the mall.,Write a concluding sentence for the following story: 'We went to the mall to buy christmas presents. It was pretty crowded and the parking lot was nuts. We circled the lot trying to find a space. We eventually wanted one but someone wanted to fight us for it.,"In the end, we decided it wasn't worth the hassle and found a space farther away, relieved to finally begin our Christmas shopping."
b0670178-9d89-4386-b3b5-50c3c1b3190c,Ear Me Now,Mother was kidnapped last weekend.,The low down scoundrels who did it demanded a ransom.,"Father refused to pay it, out of principle.",They set some of Mother's ears as a warning.,Father told them he'd only pay if they sent the rest.,"Write a concluding sentence for the following story: 'Mother was kidnapped last weekend. The low down scoundrels who did it demanded a ransom. Father refused to pay it, out of principle. They set some of Mother's ears as a warning.","Despite the horrific situation, Father's refusal to negotiate with the kidnappers showed unwavering strength and integrity."
d1a0a15b-8d77-4154-b92d-d7c225b2b7e6,I've Given Up,Dan left a single cigarette in an empty pack of smokes in his car.,"Every day, he'd take it out and turn it over in his mouth unlit.","A symbol of his strength and persistence, he always put it back after.",He did not feel very strong with no one to address his note to.,Dan left an empty pack of smokes in his car.,"Write a concluding sentence for the following story: 'Dan left a single cigarette in an empty pack of smokes in his car. Every day, he'd take it out and turn it over in his mouth unlit. A symbol of his strength and persistence, he always put it back after. He did not feel very strong with no one to address his note to.","However, Dan would continue to hold onto that last cigarette, a reminder of his resilience in the face of loneliness."
387a9413-9a61-4cb1-9abe-e9d393a85976,Mark breaks his ankle,Mark was playing basketball with his friends.,"He jumped up high for a rebound, and grabbed the ball.","As he landed, his foot positioned awkwardly on his friend's foot.",He rolled his ankle and screamed.,Mark had broken his ankle.,"Write a concluding sentence for the following story: 'Mark was playing basketball with his friends. He jumped up high for a rebound, and grabbed the ball. As he landed, his foot positioned awkwardly on his friend's foot. He rolled his ankle and screamed.","Despite the injury, Mark's friends quickly rushed to his side to help him up and get him the medical attention he needed."
831de716-5f52-4ca8-95c2-a348ac9629de,Austin,My son's school friend moved from Boston to Austin.,He went down there with no plan.,He had a cyber job but lost it.,Luckily he got a job in a used car business.,My son was happy for him.,Write a concluding sentence for the following story: 'My son's school friend moved from Boston to Austin. He went down there with no plan. He had a cyber job but lost it. Luckily he got a job in a used car business.,"In the end, everything worked out for him and he found success in his new career in Austin."
fb64e49e-b8b5-4dd6-8380-44dcd0221188,Twenty Men,Twenty men sat in a sauna.,It was very hot and they were all sweating.,Jim stood up and asked why they were there.,Mark just shrugged and told him to put his towel back on.,Jim just shook his head and walked out.,Write a concluding sentence for the following story: 'Twenty men sat in a sauna. It was very hot and they were all sweating. Jim stood up and asked why they were there. Mark just shrugged and told him to put his towel back on.,"Despite the confusion, the men continued to sit in the sauna, enjoying the intense heat and camaraderie."
9d0b3d84-e58c-4f64-a01d-fd3817205200,The Choice,Beth had to choose between universities.,One was close to home the other across the country.,Beth was torn since both schools had a lot to offer.,After weeks of deliberation she made her decision.,Beth decided to stay at home and go to school close by.,Write a concluding sentence for the following story: 'Beth had to choose between universities. One was close to home the other across the country. Beth was torn since both schools had a lot to offer. After weeks of deliberation she made her decision.,"In the end, Beth was confident that she had made the right choice for her future."
d8bd6043-b694-4ef1-ad17-2c42e59ab0bb,Spilled polish,Kelly was painting her nails on her couch.,She used a bright pink color.,"Yet when Kelly was painting them, she spilled.",The color went on the couch.,Kelly was mad that she spilled.,"Write a concluding sentence for the following story: 'Kelly was painting her nails on her couch. She used a bright pink color. Yet when Kelly was painting them, she spilled. The color went on the couch.","In frustration, Kelly sighed and realized she would need to repaint her nails and clean up the spilled nail polish from her couch."
d7e5f302-a7af-485b-9613-7e09b26d7f2a,Window Seat,Gina's family was going on a road trip.,Her siblings were in the car asleep.,To her delight no one fought her for a window seat.,She simply pushed her sister over and sat on the outside.,Gina watched the landscape as she ate her chips.,Write a concluding sentence for the following story: 'Gina's family was going on a road trip. Her siblings were in the car asleep. To her delight no one fought her for a window seat. She simply pushed her sister over and sat on the outside.,"As the sun began to rise and the scenery passed by, Gina relaxed in her coveted window seat, enjoying the peacefulness of the early morning road trip."
9e2d089d-abf8-4eef-b8b2-f3a7f69ffb14,New Kitchen,Joe's grandma loved to cook.,She spent a lot of time in her kitchen.,His grandma's house was old and the kitchen was falling apart.,Joe wanted to make his grandma very happy.,He surprised her and remodeled her entire kitchen.,Write a concluding sentence for the following story: 'Joe's grandma loved to cook. She spent a lot of time in her kitchen. His grandma's house was old and the kitchen was falling apart. Joe wanted to make his grandma very happy.,"In the end, Joe decided to surprise his grandma by renovating her kitchen and making it a beautiful space for her to continue doing what she loved most - cooking."
7fa89040-bf3f-477d-a5af-85a49341464b,accident,One day i overslept and was late for work.,I was  so upset that i didn't hear my alarm clock and that i was late.,On my way to work i saw this horrible accident.,Later i found out that two people had died in this accident.,First time in my life i felt lucky and blessed for being late to work.,Write a concluding sentence for the following story: 'One day i overslept and was late for work. I was  so upset that i didn't hear my alarm clock and that i was late. On my way to work i saw this horrible accident. Later i found out that two people had died in this accident.,This experience made me realize that being late for work was nothing compared to the tragedy that had unfolded before my eyes.
dcec9c6f-8227-4ee6-9432-4412a96b354b,Event,"My cousin decided to pick me up, and take me to an event.",This event was at a swap shop store.,"Many used items, including clothing and food, were up for sale.",I found a good deal on a pair of Nikes and decided to buy them.,My cousin and I came home with several things.,"Write a concluding sentence for the following story: 'My cousin decided to pick me up, and take me to an event. This event was at a swap shop store. Many used items, including clothing and food, were up for sale. I found a good deal on a pair of Nikes and decided to buy them.","As we left the swap shop store, I couldn't help but feel grateful for my cousin's thoughtful gesture and the great purchase I made."
f7ac8afa-1d08-4d0e-b7c1-b5b686524c83,Rodney's date,Rodney was looking forward to a date with his girlfriend all day.,During the day his boss told him he needed him to stay late for work.,Rodney was upset because he didn't want to cancel his date.,Rodney ended up working extra hard that day so he didn't have to stay.,In the end Rodney got to go on a wonderful date with his girlfriend.,Write a concluding sentence for the following story: 'Rodney was looking forward to a date with his girlfriend all day. During the day his boss told him he needed him to stay late for work. Rodney was upset because he didn't want to cancel his date. Rodney ended up working extra hard that day so he didn't have to stay.,"Despite the obstacles, Rodney was able to make it to his date with his girlfriend, grateful for the opportunity to spend time with her."
49834761-33d5-4033-9062-ce47aa20c5eb,Busted By a Bird,I once had a parrot.,I had a habit of swearing in the absence of my parents.,One day my dad told me he had a question for me.,He asked where I picked up such foul language.,The bird had been repeating my recently learned swear words.,Write a concluding sentence for the following story: 'I once had a parrot. I had a habit of swearing in the absence of my parents. One day my dad told me he had a question for me. He asked where I picked up such foul language.,"I learned that my parrot had been the culprit all along, mimicry is quite convincing!"
c13cf405-fd6b-4518-969e-286989181d3b,A Bed of Aged Roses,Julie's grandmother always loved gardening.,Julie used to help her plant and trim her roses.,One Spring Julie forgot to help her grandmother with the garden.,The roses were in full bloom when she remembered to come.,The roses from last year healthily sprouted up without their help.,Write a concluding sentence for the following story: 'Julie's grandmother always loved gardening. Julie used to help her plant and trim her roses. One Spring Julie forgot to help her grandmother with the garden. The roses were in full bloom when she remembered to come.,"Despite missing a day in the garden, Julie's grandmother's roses bloomed beautifully, showcasing the love and care they had always shared."
1aa87da9-e9ec-4128-aeb3-0861e9a037aa,Selfish,The waitress came to our table with the bill.,Tina offered to pay for the meal.,"I told her what I would pay it, despite her offer.","She accepted my offer however, she grabbed my card.","In addition, she swiped it across the ATM machine.","Write a concluding sentence for the following story: 'The waitress came to our table with the bill. Tina offered to pay for the meal. I told her what I would pay it, despite her offer. She accepted my offer however, she grabbed my card.","In the end, we both ended up splitting the bill and enjoying our meal together."
3e6f3fb3-f69d-49d4-9e55-c2bbdcc903dc,Brown Bag,Danny's mom always packed him a lunch in a brown bag.,He ate alone to avoid opening the paper sack in front of anyone.,"One day, several kids with lunch trays sat down by Danny.",Danny waited for them to say something mean about his sack lunch.,"Instead, they jealously asked if Danny wanted to trade his humble bag.","Write a concluding sentence for the following story: 'Danny's mom always packed him a lunch in a brown bag. He ate alone to avoid opening the paper sack in front of anyone. One day, several kids with lunch trays sat down by Danny. Danny waited for them to say something mean about his sack lunch.","To his surprise, they asked if they could trade some of their lunch for his."
b9e2adff-8d42-4048-9f7a-c88ed9b07ab3,Rude Behavior,The teacher assigned us to a partner for an assignment.,I introduced myself to my partner and asked her for her name.,She told me that she has a boyfriend and wasn't interested.,I immediately had a bad impression and requested another partner.,My friend was kind enough to switch partners.,Write a concluding sentence for the following story: 'The teacher assigned us to a partner for an assignment. I introduced myself to my partner and asked her for her name. She told me that she has a boyfriend and wasn't interested. I immediately had a bad impression and requested another partner.,It's important to work collaboratively with someone who is open to the partnership.
30d2d81a-8d44-4435-a7d0-c1e9af68863c,Secret chef,"After working for five years, Joe realized he hated his job.",Joe secretly started attending culinary school at night.,"Joe worried he may not be good enough to be a chef, but worked hard.","Two years later, he graduated as a chef.",Joe knew it was the right path since he earned honors.,"Write a concluding sentence for the following story: 'After working for five years, Joe realized he hated his job. Joe secretly started attending culinary school at night. Joe worried he may not be good enough to be a chef, but worked hard. Two years later, he graduated as a chef.","Despite his initial doubts, Joe's dedication and hard work paid off as he successfully graduated from culinary school and achieved his dream of becoming a chef."
1e534bfe-0033-4c1d-adce-61829d3f03fb,Browsing for Cats,Jess loved looking at image of cats.,"She was on her favorite website, searching for the latest cats.",She found pages of new entries.,"After around ten minutes, she got bored.",Jess stopped browsing and called for her kitty.,"Write a concluding sentence for the following story: 'Jess loved looking at image of cats. She was on her favorite website, searching for the latest cats. She found pages of new entries. After around ten minutes, she got bored.","Despite her initial excitement, Jess quickly grew tired of browsing through endless cat images on her favorite website."
14908ba6-dc68-41ca-a79e-a5c875e7cb7c,Dire mistakes,Andrea wanted a pet dog.,She wanted one from India.,She booked a flight to India.,After being on the plane for 5 hours she realized something.,She got on the wrong plane.,Write a concluding sentence for the following story: 'Andrea wanted a pet dog. She wanted one from India. She booked a flight to India. After being on the plane for 5 hours she realized something.,She realized that she could adopt a dog from a local shelter instead of traveling all the way to India.
ce69b5b5-84f5-4cdf-8198-880d83e75971,Zippy,Jack received a puppy for his seventh birthday.,He named the puppy Zippy because he could run fast.,"One day on their walk without a leash, Sippy ran away.",Jack looked and yelled for zippy as the hours went by.,He eventually caught up to Zippy and learned to use a leash.,"Write a concluding sentence for the following story: 'Jack received a puppy for his seventh birthday. He named the puppy Zippy because he could run fast. One day on their walk without a leash, Sippy ran away. Jack looked and yelled for zippy as the hours went by.","Eventually, Jack's determination paid off, and he was reunited with his beloved puppy Zippy."
04bbe018-9265-4de4-bdbf-5cc4ed1fc36d,Snack,Amy had heart palpitations after a lot of caffeine.,Her mother suggested she eat and drink lots of water.,On her walk home she stopped and bought water and almonds.,She walked home eating the almonds and chugging the water.,By the time she arrived her heart felt much better.,Write a concluding sentence for the following story: 'Amy had heart palpitations after a lot of caffeine. Her mother suggested she eat and drink lots of water. On her walk home she stopped and bought water and almonds. She walked home eating the almonds and chugging the water.,"By the time Amy got home, she was feeling much better and grateful for her mother's helpful advice."
3befca7c-6ca8-4cf7-aa1d-1fb37055afca,Stress,A man was having trouble handling the stresses of his life.,He decided to return to first premises.,He knew the body is the most immediate sector of his universe.,So he began living a very healthy and relaxed lifestyle,He soon saw his stress disappear and felt better.,Write a concluding sentence for the following story: 'A man was having trouble handling the stresses of his life. He decided to return to first premises. He knew the body is the most immediate sector of his universe. So he began living a very healthy and relaxed lifestyle,"As he focused on maintaining his physical and mental well-being, the man found peace and balance in his life once again."
399720ff-7dcb-49bb-8a3d-a4552a6de0b8,Jaden Smith is weird.,Jaden Smith was posting a tweet on mirrors.,He said we are all living in mirrors and the mirrors are living.,I looked at my TV and saw independence day was on.,"Shaking my head, I look at Will Smith killing aliens in amazement.",The best actor is stuck acting like his son isn't an embarrassment.,"Write a concluding sentence for the following story: 'Jaden Smith was posting a tweet on mirrors. He said we are all living in mirrors and the mirrors are living. I looked at my TV and saw independence day was on. Shaking my head, I look at Will Smith killing aliens in amazement.","In that moment, it was clear that the Smith family's undeniable talent and vision would continue to captivate audiences for generations to come."
a4f2b3ac-ba8c-4003-8db2-4fef1ebe631f,Sean's Guitar Lesson,Sean posted an ad for guitar lessons online.,He was contacted by a mother who wanted some lessons for her son.,He went to their house the next day.,The son met him and they went through a lesson.,"When he was done, they paid him and he went home.",Write a concluding sentence for the following story: 'Sean posted an ad for guitar lessons online. He was contacted by a mother who wanted some lessons for her son. He went to their house the next day. The son met him and they went through a lesson.,"After an enjoyable first lesson, Sean was thrilled to have found a new student eager to learn and improve his guitar skills."
